"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Henry Baez","ATH","SP","13.2","10","1","0","4.33","1.40","6","13","5","1","11","0","0","0","35"
"Sam Benschoter","CIN","RP","13.9","10","1","0","4.49","1.41","7","14","5","2","13","0","1","0","35"
"Josh Staumont","CIN","RP","11.3","11","1","0","4.75","1.46","6","10","6","1","11","0","1","0","35"
"Anthony Maldonado","HOU","RP","11.1","11","1","0","5.26","1.57","7","11","7","2","11","0","1","0","35"
"Ky Bush","CWS","SP","14.2","10","1","0","5.09","1.57","8","14","8","2","4","3","1","0","35"
"A.J. Causey","ATH","","12.1","10","1","0","4.41","1.38","6","12","5","2","12","0","1","0","34"
"Christian Montes De Oca","ARI","RP","12.2","10","1","0","4.81","1.40","7","13","5","2","5","0","1","0","34"
"Ethan Pecko","HOU","SP","10.9","10","1","0","4.13","1.38","5","10","6","2","3","3","1","0","33"
"Shinnosuke Ogasawara","WSH","SP,RP","12.6","9","1","0","4.42","1.35","6","13","4","2","10","0","1","0","33"
"Didier Fuentes","ATL","SP","10.8","10","1","0","4.61","1.36","6","11","3","2","5","2","1","0","33"
"Joe La Sorsa","PIT","RP","13.2","9","1","0","4.28","1.41","6","13","5","1","10","0","1","0","33"
"Dale Stanavich","MIA","","10.7","10","1","0","4.49","1.50","5","10","6","1","11","0","1","0","33"
"Nick Burdi","NYM","RP","10.5","12","0","0","3.80","1.33","4","9","5","1","11","0","0","0","33"
"Brian Van Belle","TB","SP,RP","11.6","9","1","0","4.26","1.33","6","13","3","2","5","1","1","0","32"
"Dugan Darnell","DET","RP","9.2","10","1","0","4.42","1.42","5","8","5","1","8","0","1","0","32"
"Randy Dobnak","SEA","RP","11.8","9","1","0","4.48","1.42","6","12","5","1","9","0","1","0","32"
"Jake Bennett","BOS","SP","12.4","9","1","0","4.56","1.40","6","13","4","2","12","0","1","0","32"
"Wilber Dotel","PIT","SP","11.9","9","1","0","4.69","1.43","6","12","5","2","11","0","1","0","32"
"Carlos Lagrange","NYY","SP","9.3","10","1","0","4.37","1.62","5","8","8","1","2","2","1","0","32"
"Carlos Carrasco","ATL","SP","12.2","9","1","0","5.31","1.49","7","14","5","2","3","3","1","0","32"
"Dylan Coleman","NYY","RP","10.2","10","1","0","4.98","1.68","6","9","8","1","11","0","1","0","32"
"Sem Robberse","STL","SP","12.3","9","1","0","5.14","1.63","7","14","7","2","10","1","1","0","32"
"Robinson Pina","","SP","10.5","9","1","0","4.27","1.28","5","11","3","2","8","1","1","0","31"
"Mitch Bratt","ARI","SP","10.7","9","1","0","4.37","1.27","5","11","3","2","3","2","1","0","31"
"Jack Little","DET","RP","11.1","9","1","0","4.46","1.35","6","11","5","1","8","0","1","0","31"
"Blake Walston","ARI","RP","10.1","9","1","0","4.86","1.46","5","10","5","1","5","1","1","0","31"
"Elvin Rodriguez","","RP","11.6","9","1","0","5.04","1.46","7","13","4","2","3","3","1","0","31"
"Trey Gibson","BAL","SP","11.7","11","0","0","4.25","1.34","6","11","5","1","3","3","1","0","31"
